Date,Open,High,Low,Close,Volume,Adj Close
2010-03-18,68.44,68.78,68.14,68.26,71527500,68.26
2010-03-17,68.22,68.88,68.20,68.47,53589100,68.47
2010-03-16,67.83,68.10,67.34,68.07,52874400,68.07
2010-03-15,67.68,67.81,67.00,67.49,49862700,67.49
2010-03-12,68.10,68.13,67.26,67.72,61862000,67.72
2010-03-11,67.14,67.86,66.90,67.75,59964100,67.75
2010-03-10,67.04,67.90,67.01,67.55,73641600,67.55
2010-03-09,66.55,67.49,66.53,66.98,70639900,66.98
2010-03-08,66.64,66.93,66.52,66.74,46046400,66.74
2010-03-05,65.71,66.72,65.50,66.62,52293900,66.62
2010-03-04,65.14,65.37,64.87,65.29,47174200,65.29
2010-03-03,65.07,65.49,64.78,65.12,56207500,65.12
2010-03-02,64.50,65.15,64.40,64.75,55605300,64.75
2010-03-01,63.26,64.32,63.26,64.26,70967800,64.26
2010-02-26,63.16,63.21,62.46,62.80,60093900,62.80
2010-02-25,62.18,63.12,61.98,63.06,51949700,63.06
2010-02-24,62.74,63.35,62.55,63.04,50476000,63.04
2010-02-23,63.16,63.25,62.33,62.51,58965400,62.51
2010-02-22,63.42,63.45,63.02,63.25,45344900,63.25
2010-02-19,62.74,63.38,62.61,63.06,56840800,63.06
2010-02-18,62.47,63.00,62.25,62.98,43039200,62.98
2010-02-17,62.36,62.61,61.99,62.47,50459400,62.47
2010-02-16,61.66,62.11,61.08,62.05,49993000,62.05
2010-02-12,60.00,61.10,59.81,61.02,65909800,61.02
2010-02-11,59.46,60.62,59.00,60.58,51969700,60.58
2010-02-10,59.31,59.78,58.69,59.63,55703100,59.63
2010-02-09,59.38,59.93,58.75,59.49,91986700,59.49
2010-02-08,59.08,59.60,58.62,58.68,61579200,58.68
2010-02-05,59.17,59.33,58.00,59.27,106752200,59.27
2010-02-04,60.66,60.68,58.99,59.04,99155300,59.04
2010-02-03,61.20,61.63,60.59,61.08,50241000,61.08
2010-02-02,60.93,61.56,60.62,61.49,71047700,61.49
2010-02-01,60.39,60.94,60.16,60.82,60615000,60.82
2010-01-29,61.03,61.69,59.97,60.11,79314400,60.11
2010-01-28,61.96,61.99,60.22,60.78,93814200,60.78
2010-01-27,60.92,61.94,60.71,61.84,72565800,61.84
2010-01-26,61.57,62.03,61.14,61.19,58213200,61.19
2010-01-25,62.08,62.15,61.33,61.80,62298700,61.80
2010-01-22,62.76,63.06,61.18,61.73,83757000,61.73
2010-01-21,63.96,64.48,62.64,62.86,98323100,62.86
2010-01-20,64.39,64.40,63.19,63.91,62485000,63.91
2010-01-19,63.92,64.87,63.92,64.85,46839000,64.85
2010-01-15,64.65,64.80,63.27,63.68,68725100,63.68
2010-01-14,64.14,64.82,64.02,64.62,41859800,64.62
2010-01-13,63.78,64.51,63.23,64.38,39501900,64.38
2010-01-12,63.86,64.16,63.26,63.56,45854900,63.56
2010-01-11,64.78,64.88,64.01,64.26,51638900,64.26
2010-01-08,63.94,64.52,63.80,64.52,48811500,64.52
2010-01-07,63.74,64.22,63.14,64.17,56123500,64.17
2010-01-06,63.76,64.10,63.54,63.70,59708600,63.70
2010-01-05,63.88,64.18,63.49,63.76,55523100,63.76
2010-01-04,63.29,64.04,63.27,63.98,42863900,63.98
2009-12-31,63.23,63.57,62.26,62.44,34407900,62.44
2009-12-30,63.04,63.49,62.65,63.19,45268900,63.19
2009-12-29,63.42,63.53,63.18,63.23,24085300,63.23
2009-12-28,63.59,63.61,62.97,63.26,35784500,63.26
2009-12-24,63.29,63.39,63.13,63.36,16521900,63.36
2009-12-23,62.70,63.16,62.28,63.12,49503600,63.12
2009-12-22,62.05,62.65,61.92,62.57,38750700,62.32
2009-12-21,61.63,62.11,61.62,61.99,47658100,61.74
2009-12-18,61.04,61.19,60.32,61.18,63876100,60.93
2009-12-17,60.93,61.17,60.18,60.62,60917400,60.37
2009-12-16,61.30,61.62,60.90,61.30,56550000,61.05
2009-12-15,60.96,61.52,60.78,60.91,55378800,60.66
2009-12-14,60.65,61.38,59.97,61.08,48248700,60.83
2009-12-11,60.03,60.27,59.48,60.17,50543400,59.93
2009-12-10,60.12,60.44,59.36,59.61,54319700,59.37
2009-12-09,59.94,60.10,59.30,59.85,55537000,59.61
2009-12-08,60.14,60.47,59.38,60.04,59576600,59.80
2009-12-07,60.41,60.84,60.11,60.51,55543100,60.27
2009-12-04,60.20,60.87,59.28,60.42,100434300,60.18
2009-12-03,59.98,60.37,58.93,58.96,53866100,58.72
2009-12-02,59.07,60.21,59.06,59.69,71220600,59.45
2009-12-01,58.64,59.23,58.46,58.99,63141300,58.75
2009-11-30,57.65,58.25,56.86,58.09,77936900,57.86
2009-11-27,57.15,58.67,57.04,57.58,51862100,57.35
2009-11-25,59.69,59.82,59.26,59.33,47641700,59.09
2009-11-24,59.62,59.63,58.62,59.34,45238000,59.10
2009-11-23,59.41,60.32,59.29,59.61,57935400,59.37
2009-11-20,58.22,58.80,58.09,58.59,39780100,58.35
2009-11-19,59.56,59.66,58.19,58.66,72350600,58.42
2009-11-18,60.35,60.38,59.60,60.16,54309000,59.92
2009-11-17,60.08,60.48,59.74,60.28,43026500,60.04
2009-11-16,59.12,60.68,59.12,60.28,66099700,60.04
2009-11-13,58.35,58.96,57.63,58.73,69258000,58.49
2009-11-12,59.28,59.73,58.00,58.17,68550500,57.93
2009-11-11,59.30,59.84,58.80,59.26,50320800,59.02
2009-11-10,59.10,59.51,58.37,58.85,55864400,58.61
2009-11-09,58.59,59.27,58.55,59.22,49200200,58.98
2009-11-06,57.43,58.58,57.27,58.08,56216700,57.85
2009-11-05,56.99,58.17,56.77,58.04,67422600,57.81
2009-11-04,57.46,57.68,56.25,56.25,92803000,56.02
2009-11-03,55.88,57.09,55.69,57.07,83105700,56.84
2009-11-02,56.63,57.14,55.33,56.22,97996600,55.99
2009-10-30,57.67,57.74,55.98,56.33,116215600,56.10
2009-10-29,57.33,58.24,57.12,57.91,73615700,57.68
